ApprovalID,Address,ProjectID,ApprovalStatus,ProjectTitle,CensusBureauCategory,ApprovalCreation,ApprovalIssuance,AffordableUnits,DaysToIssuance,IsIssued,HasCategory,HasProjectID
PMT-3155576,"5229 Rincon St, San Diego, CA",,,,,5/20/2022,,5,,0,0,0
PMT-3159587,"2860 Webster Av, San Diego, CA 92113",,,,,6/13/2022,,3,,0,0,0
PMT-3160779,"1902 1/3 69th St, San Diego, CA",,,,,6/20/2022,,1,,0,0,0
PMT-3164600,"3014 Ulric Ct, San Diego, CA",,,,,7/12/2022,,1,,0,0,0
PMT-3164876,"3816 Villa Tr, San Diego, CA",,,,,7/13/2022,,2,,0,0,0
PMT-3164986,"128 Seaward Av, San Diego, CA",,Cancelled Application Expired,,Add/Alt Companion Unit/Acc Apt,7/13/2022,,1,,0,1,0
PMT-3164987,"128 Seaward Av, San Diego, CA",,Cancelled Application Expired,,Add/Alt Companion Unit/Acc Apt,7/13/2022,,1,,0,1,0
PMT-3164992,"128 Seaward Av, San Diego, CA",,Cancelled Application Expired,,Add/Alt Companion Unit/Acc Apt,7/13/2022,,3,,0,1,0
PMT-3177064,"3586 Princeton Av, San Diego, CA 92117",,Cancelled,,,9/16/2022,,1,,0,0,0
PMT-3177389,"3257 L St, San Diego, CA 92102",,Cancelled,,,9/20/2022,,1,,0,0,0
PMT-3180082,"6311 Inman St, San Diego, CA 92111",,Cancelled,,,10/4/2022,,1,,0,0,0
PMT-3195616,"4158 1/2 40th St, San Diego, CA 92105",,Cancelled,,,12/28/2022,,1,,0,0,0
PMT-3197293,"5418 Hewlett Dr, San Diego, CA 92115",,Cancelled,,,1/6/2023,,1,,0,0,0
PMT-3201383,"3735 Central Av, San Diego, CA 92104",,Cancelled,,,1/31/2023,,1,,0,0,0
PMT-3204690,"15175 Andorra Wy, San Diego, CA 92129",,Cancelled,,,2/16/2023,,1,,0,0,0
PMT-3205969,"6086 Estelle St, San Diego, CA 92115",,Cancelled,,,2/23/2023,,1,,0,0,0
PMT-3207133,"128 Seaward Av, San Diego, CA",,Cancelled Application Expired,,Add/Alt Companion Unit/Acc Apt,2/28/2023,,1,,0,1,0
PMT-3211659,"205 Hensley St, San Diego, CA",,Cancelled,,,3/23/2023,,3,,0,0,0
PMT-3212028,"3058 Island Av, San Diego, CA",,Cancelled,,,3/25/2023,,3,,0,0,0
PMT-3212030,"3060 Island Av, San Diego, CA 92102",,Cancelled,,,3/25/2023,,3,,0,0,0
PMT-3212031,"3062 Island Av, San Diego, CA",,Cancelled,,,3/25/2023,,3,,0,0,0
PMT-3213783,"6383 Broadway, San Diego, CA",,Cancelled,,,4/5/2023,,7,,0,0,0
PMT-3215274,"2982 Greyling Dr, San Diego, CA",,Cancelled,,,4/12/2023,,1,,0,0,0
PMT-3217896,"974 Missouri St, San Diego, CA",,Cancelled,,,4/25/2023,,1,,0,0,0
PMT-3219049,"3847 Clairemont Dr, San Diego, CA",,Cancelled,,,5/1/2023,,1,,0,0,0
PMT-3223377,"3312 Avenida De Portugal, San Diego, CA 92106",,Cancelled,,,5/22/2023,,1,,0,0,0
PMT-3231425,"3027 Luna Av, San Diego, CA",,Cancelled,,,6/30/2023,,1,,0,0,0
PMT-3231471,"3037 Luna Av, San Diego, CA",,Cancelled,,,6/30/2023,,1,,0,0,0
PMT-3238547,"2550 State St, San Diego, CA",,Cancelled,,,8/3/2023,,1,,0,0,0
PMT-3238744,"5238 Imperial Av, San Diego, CA",,Cancelled,,,8/4/2023,,2,,0,0,0
PMT-3245536,"447 Ritchey St, San Diego, CA",,Cancelled,,,9/7/2023,,14,,0,0,0
PMT-3246073,"4648 Revillo Wy, San Diego, CA",,Cancelled,,Add/Alt Companion Unit/Acc Apt,9/11/2023,,1,,0,1,0
PMT-3246074,"4650 Revillo Wy, San Diego, CA",,Cancelled,,Add/Alt Companion Unit/Acc Apt,9/11/2023,,1,,0,1,0
PMT-3246075,"4652 Revillo Wy, San Diego, CA",,Cancelled,,Add/Alt Companion Unit/Acc Apt,9/11/2023,,1,,0,1,0
PMT-3252548,"2090 Capistrano St, San Diego, CA",,Cancelled,,,10/16/2023,,1,,0,0,0
PMT-3253652,"3326 Upas St, San Diego, CA",,Cancelled,,,10/20/2023,,1,,0,0,0
PMT-3270670,"4040 Normal St, San Diego, CA",,Cancelled,,,1/25/2024,,1,,0,0,0
PMT-3294481,"7456 Skyline Dr, San Diego, CA",,Cancelled,,,6/3/2024,,1,,0,0,0
PMT-3298074,"2587 Deauville St, San Diego, CA",,Cancelled,,,6/20/2024,,1,,0,0,0
2156539,5548 RILEY ST,609222,Completed,The Crawford Multifamily,Five or More Family Apt,6/6/2018,7/10/2019,1,399,1,1,1
2162360,2828 HOWARD AV,610921,Completed,Howard Apartments,Five or More Family Apt,6/20/2018,12/17/2019,1,545,1,1,1
2183993,4360 UTAH ST,615145,Completed,Utah St. New Apartments,Five or More Family Apt,8/13/2018,3/6/2020,2,571,1,1,1
2191550,3539 DEL REY ST,616621,Completed,Del Rey Courtyard Apartments,"Add/Alt 3+ Fam, Increase DU",8/30/2018,10/29/2019,1,425,1,1,1
2203064,530 42ND ST,619027,Created,42nd St Residential Complex,Five or More Family Apt,9/28/2018,,9,,0,1,1
2203068,531 MORRISON ST,619027,Created,42nd St Residential Complex,Five or More Family Apt,9/28/2018,,9,,0,1,1
2212281,1 14TH ST,620559,Completed,14th & Commercial (Affordable),Five or More Family Apt,10/22/2018,4/29/2020,32,555,1,1,1
2213612,4444 MANITOU WY,621156,Issued,Manitou Villas,Five or More Family Apt,10/24/2018,5/27/2020,1,581,1,1,1
2214348,1290 KEELER CT,621279,Completed,Keeler Court Apts (Affordable),Five or More Family Apt,10/25/2018,1/24/2020,8,456,1,1,1
