ApprovalID,Address,ProjectID,ApprovalStatus,ProjectTitle,CensusBureauCategory,ApprovalCreation,ApprovalIssuance,ProjectURL,ApprovalURL,AffordableUnits
PMT-3149665,"4060 Euclid Av, San Diego, CA 92105",,,,,4/19/2022,,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC22&capID2=00000&capID3=00XMM&agencyCode=SANDIEGO&IsToShowInspection=,
PMT-3155576,"5229 Rincon St, San Diego, CA",,,,,5/20/2022,,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC22&capID2=00000&capID3=0188G&agencyCode=SANDIEGO&IsToShowInspection=,5
PMT-3159587,"2860 Webster Av, San Diego, CA 92113",,,,,6/13/2022,,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC22&capID2=00000&capID3=01FEC&agencyCode=SANDIEGO&IsToShowInspection=,3
PMT-3160779,"1902 1/3 69th St, San Diego, CA",,,,,6/20/2022,,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC22&capID2=00000&capID3=01HHR&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3164600,"3014 Ulric Ct, San Diego, CA",,,,,7/12/2022,,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC22&capID2=00000&capID3=01OTA&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3164876,"3816 Villa Tr, San Diego, CA",,,,,7/13/2022,,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC22&capID2=00000&capID3=01PE5&agencyCode=SANDIEGO&IsToShowInspection=,2
PMT-3164986,"128 Seaward Av, San Diego, CA",,Cancelled Application Expired,,Add/Alt Companion Unit/Acc Apt,7/13/2022,,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC22&capID2=00000&capID3=01PLF&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3164987,"128 Seaward Av, San Diego, CA",,Cancelled Application Expired,,Add/Alt Companion Unit/Acc Apt,7/13/2022,,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC22&capID2=00000&capID3=01PLG&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3164992,"128 Seaward Av, San Diego, CA",,Cancelled Application Expired,,Add/Alt Companion Unit/Acc Apt,7/13/2022,,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC22&capID2=00000&capID3=01PLM&agencyCode=SANDIEGO&IsToShowInspection=,3
PMT-3177064,"3586 Princeton Av, San Diego, CA 92117",,Cancelled,,,9/16/2022,,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC22&capID2=00000&capID3=02DVF&agencyCode=SANDIEGO&IsToShowInspection=,1
