JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,APP_SUBMIT_DT,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,TOT_PROPOSED_UNITS,TOT_APPROVED_UNITS,TOT_DISAPPROVED_UNITS,APP_SUBMITTED_SB35,DENSITY_BONUS_RECEIVED,DENSITY_BONUS_APPROVED,APPLICATION_STATUS,PROJECT_TYPE,NOTES
SOLANA BEACH,San Diego,2023.0,,298-121-26,504 S Nardo Ave,Nicholas,DRP22-025,SFD,Owner,2023-10-12,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,No,No,Approved,Discretionary,
SOLANA BEACH,San Diego,2023.0,,263-061-14,446 Seabright Ln,Levitt,DRP23-003,SFD,Owner,2023-09-22,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,No,No,Approved,Discretionary,
SOLANA BEACH,San Diego,2023.0,,263-331-26,150 N ACACIA AVE,ADU,B22-0740,ADU,Renter,2023-03-16,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,No,No,Approved,Ministerial,
SOLANA BEACH,San Diego,2023.0,,2980510300,305 S SIERRA AVE,Gobar ADU,B23-0722,ADU,Renter,2023-11-09,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,No,No,Pending,Ministerial,
SOLANA BEACH,San Diego,2023.0,,298-270-12,959 Highland Dr,Setinadi,DRP22-026,SFD,Owner,2023-11-09,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,No,No,Approved,Discretionary,
SOLANA BEACH,San Diego,2023.0,,2630724900,423 N GRANADOS AVE,Joyce ADU,B23-0735,ADU,Renter,2023-10-26,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,No,No,Pending,Ministerial,
SOLANA BEACH,San Diego,2023.0,,298-094-02-00,418 S GRANADOS AVE,Kruger ADU,B22-0730,ADU,Renter,2023-03-02,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,No,No,Approved,Ministerial,
SOLANA BEACH,San Diego,2023.0,,2980731300,149 S RIOS AVE,Von Summer ADU,B23-0117,ADU,Renter,2023-02-10,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,No,No,Approved,Ministerial,
SOLANA BEACH,San Diego,2023.0,,263-500-27-00,402 SANTA DOMINGA,Lamantia ADU,B22-0749,ADU,Renter,2023-01-05,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,No,No,Approved,Ministerial,
SOLANA BEACH,San Diego,2023.0,,2630820300,614 BARBARA AVE,Howden ADU,B23-0100,ADU,Renter,2023-02-28,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,No,No,Approved,Ministerial,
SOLANA BEACH,San Diego,2023.0,,2983220200,608 MARSOLAN AVE,Groezinger ADU,B23-0578,ADU,Renter,2023-11-22,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,No,No,Pending,Ministerial,
SAN DIEGO,San Diego,2023.0,,3531502100,7792 Senn Wy,Discretionary Project:7792/Senn,PMT-2558689,SFD,Owner,2023-11-03,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,No,,Approved,Discretionary,
SAN DIEGO,San Diego,2023.0,,3463220200,"8151 Calle Del Cielo, San Diego, CA 92037",Standard-Discretionary Project:8151/Calle Del Cielo,PMT-3258491,ADU,Renter,2023-11-09,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,No,,Approved,Discretionary,
SAN DIEGO,San Diego,2023.0,,5324950200,"319 Rosecrans St, San Diego, CA 92106",Standard-Discretionary Project:319/Rosecrans,PMT-3206028,ADU,Renter,2023-02-23,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,No,,Approved,Discretionary,
