,B25071_001E,B25071_001EA,B25071_001M,B25071_001MA,GEO_ID,NAME,state,county,tract
0,23.1,,9.2,,1400000US06073000100,,06,073,000100
1,29.2,,3.9,,1400000US06073000201,,06,073,000201
2,26.5,,5.3,,1400000US06073000202,,06,073,000202
3,27.4,,5.6,,1400000US06073000301,,06,073,000301
4,35.6,,7.2,,1400000US06073000302,,06,073,000302
5,31.2,,4.8,,1400000US06073000400,,06,073,000400
6,27.3,,2.4,,1400000US06073000500,,06,073,000500
7,26.1,,2.7,,1400000US06073000600,,06,073,000600
8,23.9,,3.4,,1400000US06073000700,,06,073,000700
9,31.8,,4.4,,1400000US06073000800,,06,073,000800
10,25.9,,3.4,,1400000US06073000901,,06,073,000901
11,28.7,,3.0,,1400000US06073000902,,06,073,000902
12,30.1,,4.2,,1400000US06073001000,,06,073,001000
13,27.7,,2.2,,1400000US06073001100,,06,073,001100
14,31.5,,9.3,,1400000US06073001201,,06,073,001201
15,31.1,,3.6,,1400000US06073001202,,06,073,001202
16,24.8,,5.3,,1400000US06073001301,,06,073,001301
17,34.1,,5.0,,1400000US06073001302,,06,073,001302
18,28.5,,7.1,,1400000US06073001400,,06,073,001400
19,26.2,,7.2,,1400000US06073001500,,06,073,001500
20,33.8,,4.4,,1400000US06073001600,,06,073,001600
21,27.2,,6.0,,1400000US06073001700,,06,073,001700
22,34.3,,9.1,,1400000US06073001801,,06,073,001801
23,29.5,,4.1,,1400000US06073001802,,06,073,001802
24,27.4,,3.9,,1400000US06073001900,,06,073,001900
25,37.8,,7.1,,1400000US06073002001,,06,073,002001
26,38.4,,20.9,,1400000US06073002002,,06,073,002002
27,29.2,,3.8,,1400000US06073002100,,06,073,002100
28,34.9,,11.4,,1400000US06073002201,,06,073,002201
29,34.7,,4.8,,1400000US06073002202,,06,073,002202
30,31.4,,4.8,,1400000US06073002301,,06,073,002301
31,35.3,,7.5,,1400000US06073002302,,06,073,002302
32,31.8,,2.2,,1400000US06073002401,,06,073,002401
33,39.4,,10.2,,1400000US06073002402,,06,073,002402
34,38.8,,9.3,,1400000US06073002501,,06,073,002501
35,30.5,,11.8,,1400000US06073002502,,06,073,002502
36,31.7,,3.9,,1400000US06073002601,,06,073,002601
37,39.3,,17.2,,1400000US06073002602,,06,073,002602
38,43.3,,10.0,,1400000US06073002702,,06,073,002702
39,28.8,,4.1,,1400000US06073002703,,06,073,002703
40,36.8,,4.3,,1400000US06073002705,,06,073,002705
41,40.9,,16.5,,1400000US06073002707,,06,073,002707
42,39.9,,4.8,,1400000US06073002708,,06,073,002708
43,42.8,,20.4,,1400000US06073002709,,06,073,002709
44,39.4,,11.7,,1400000US06073002710,,06,073,002710
45,39.8,,29.2,,1400000US06073002711,,06,073,002711
46,46.4,,23.0,,1400000US06073002712,,06,073,002712
