,median_rent_pct_income,median_rent_pct_income_moe,zip
0,29.7,5.1,00601
1,25.6,4.7,00602
2,28.5,1.6,00603
3,18.1,5.3,00606
4,24.2,5.8,00610
5,33.5,29.2,00611
6,27.1,2.0,00612
7,22.8,7.8,00616
8,34.8,13.0,00617
9,35.0,10.1,00622
10,32.1,4.3,00623
11,23.6,6.2,00624
12,29.5,4.7,00627
13,19.3,12.9,00631
14,27.5,21.3,00636
15,29.5,4.4,00637
16,29.3,3.7,00638
17,24.9,2.9,00641
18,23.9,5.8,00646
19,40.2,27.7,00647
20,32.9,18.5,00650
21,25.0,8.4,00652
22,32.5,5.1,00653
23,27.5,6.4,00656
24,28.3,5.5,00659
25,30.0,6.0,00660
26,30.1,4.8,00662
27,30.3,9.9,00664
28,30.4,4.7,00667
29,31.1,4.8,00669
30,31.4,7.6,00670
31,29.7,3.4,00674
32,28.8,6.3,00676
33,30.3,12.6,00677
34,32.0,7.6,00678
35,39.7,5.2,00680
36,33.9,5.0,00682
37,30.6,3.9,00683
38,30.9,4.2,00685
39,29.2,3.5,00687
40,28.4,5.2,00688
41,24.6,8.3,00690
42,38.7,14.2,00692
43,29.2,7.5,00693
44,-666666666.0,-222222222.0,00694
45,29.0,3.4,00698
46,26.2,4.4,00703
47,23.0,52.2,00704
48,28.4,3.3,00705
49,38.1,10.8,00707
50,31.2,13.1,00714
51,26.7,7.3,00715
52,29.8,2.4,00716
53,35.0,5.9,00717
54,32.6,7.0,00718
55,24.2,13.5,00719
56,29.6,5.2,00720
57,34.8,7.2,00723
58,32.9,2.8,00725
59,32.7,4.2,00727
60,36.1,4.2,00728
61,29.9,5.5,00729
62,33.3,2.7,00730
63,29.4,22.6,00731
64,27.6,7.6,00735
65,26.9,2.0,00736
66,32.6,4.3,00738
67,25.2,2.5,00739
68,51.0,-333333333.0,00740
69,28.1,8.9,00741
70,36.8,5.3,00745
71,26.0,5.5,00751
72,34.4,6.6,00754
73,29.5,6.6,00757
74,23.5,8.5,00765
75,26.8,6.1,00766
76,33.7,5.8,00767
77,32.0,5.5,00769
78,33.6,8.1,00771
79,34.9,5.8,00772
80,31.5,6.9,00773
81,25.9,3.0,00775
82,31.0,6.8,00777
83,26.8,3.4,00778
84,24.9,6.0,00780
85,36.6,10.6,00782
86,28.2,8.4,00783
87,26.2,4.0,00784
88,-666666666.0,-222222222.0,00786
89,28.4,2.5,00791
90,26.9,2.3,00794
91,31.8,2.9,00795
92,33.8,6.9,00901
93,-666666666.0,-222222222.0,00906
94,33.7,6.0,00907
95,44.1,11.7,00909
96,28.7,6.6,00911
97,41.1,10.9,00912
98,32.2,2.4,00913
99,35.9,3.8,00915
100,32.7,4.3,00917
101,27.8,2.8,00918
102,34.8,7.7,00920
103,32.2,4.5,00921
104,38.9,4.5,00923
105,29.4,2.1,00924
106,47.9,12.8,00925
107,27.5,2.2,00926
108,24.5,4.2,00927
109,-666666666.0,-222222222.0,00934
110,25.3,2.4,00949
111,-666666666.0,-222222222.0,00950
112,27.7,55.7,00951
113,24.9,18.4,00952
114,36.4,2.9,00953
115,35.5,2.7,00956
116,32.0,3.8,00957
117,37.6,3.4,00959
118,-666666666.0,-222222222.0,00960
119,28.6,3.6,00961
120,27.2,4.0,00962
121,21.6,1.7,00965
122,30.3,4.6,00966
123,27.5,4.9,00968
124,28.5,1.9,00969
125,29.1,2.5,00971
126,29.1,1.7,00976
127,33.2,9.5,00979
128,31.8,4.2,00982
129,29.8,3.1,00983
130,29.1,3.2,00985
131,29.3,4.9,00987
132,23.7,4.0,01001
133,40.8,8.4,01002
134,44.4,37.0,01003
135,51.0,-333333333.0,01005
136,32.1,7.4,01007
137,23.9,8.4,01008
138,28.7,49.1,01009
139,47.1,45.5,01010
140,36.2,16.2,01011
141,26.4,2.6,01012
142,28.7,2.5,01013
143,32.2,1.9,01020
144,36.6,24.6,01022
145,18.2,2.6,01026
146,28.7,2.5,01027
147,30.7,6.2,01028
148,-666666666.0,-222222222.0,01029
149,29.4,4.8,01030
150,37.2,10.2,01031
151,38.0,38.6,01032
152,42.3,5.7,01033
153,18.8,10.9,01034
154,24.4,7.7,01035
155,21.5,16.4,01036
156,-666666666.0,-222222222.0,01037
157,32.1,3.8,01038
158,32.6,1.2,01039
159,30.9,2.3,01040
160,26.4,8.9,01050
161,23.3,4.5,01053
162,36.3,6.4,01054
163,30.5,5.8,01056
164,28.4,10.0,01057
165,32.3,2.4,01060
166,38.6,6.1,01062
167,-666666666.0,-222222222.0,01063
168,-666666666.0,-222222222.0,01066
169,18.7,7.4,01068
170,33.3,8.8,01069
171,27.5,7.0,01070
172,21.3,8.9,01071
173,27.7,5.1,01072
174,24.6,5.2,01073
175,-666666666.0,-222222222.0,01074
176,29.1,7.3,01075
177,30.4,13.8,01077
178,-666666666.0,-222222222.0,01079
179,24.9,15.7,01080
180,35.2,11.1,01081
181,34.6,7.7,01082
182,27.5,4.0,01083
183,-666666666.0,-222222222.0,01084
184,28.5,2.8,01085
185,26.8,14.8,01088
186,32.5,1.5,01089
187,18.8,3.4,01092
188,-666666666.0,-222222222.0,01093
189,-666666666.0,-222222222.0,01094
190,33.1,15.8,01095
191,29.7,3.7,01096
192,-666666666.0,-222222222.0,01097
193,37.5,15.5,01098
194,32.3,3.2,01103
195,35.4,4.4,01104
196,36.5,7.6,01105
197,40.4,11.8,01106
198,33.0,5.0,01107
199,44.0,5.7,01108
200,36.0,3.5,01109
201,31.1,8.9,01118
202,34.6,11.2,01119
203,-666666666.0,-222222222.0,01128
204,28.4,2.6,01129
205,-666666666.0,-222222222.0,01144
206,32.3,7.1,01151
207,31.5,3.3,01201
208,33.9,3.4,01220
209,-666666666.0,-222222222.0,01222
210,51.0,-333333333.0,01223
211,-666666666.0,-222222222.0,01224
212,13.7,21.4,01225
213,24.0,14.5,01226
214,-666666666.0,-222222222.0,01229
215,32.4,3.6,01230
216,26.3,13.5,01235
217,-666666666.0,-222222222.0,01236
218,26.1,5.0,01237
219,34.1,11.3,01238
220,29.3,4.7,01240
221,-666666666.0,-222222222.0,01242
222,-666666666.0,-222222222.0,01243
223,-666666666.0,-222222222.0,01244
224,-666666666.0,-222222222.0,01245
225,35.5,3.3,01247
226,-666666666.0,-222222222.0,01253
227,11.5,7.6,01254
228,51.0,-333333333.0,01255
229,-666666666.0,-222222222.0,01256
230,22.2,1.2,01257
231,-666666666.0,-222222222.0,01258
232,-666666666.0,-222222222.0,01259
233,-666666666.0,-222222222.0,01260
234,32.2,16.7,01262
235,31.5,11.9,01264
236,27.5,15.1,01266
237,29.3,5.6,01267
238,-666666666.0,-222222222.0,01270
239,37.9,3.2,01301
240,51.0,-333333333.0,01330
241,35.8,7.4,01331
242,28.5,7.5,01337
243,-666666666.0,-222222222.0,01338
244,35.4,6.0,01339
245,16.0,36.6,01340
246,22.3,1.2,01341
247,30.6,19.7,01342
248,-666666666.0,-222222222.0,01343
249,28.6,5.9,01344
250,-666666666.0,-222222222.0,01346
251,-666666666.0,-222222222.0,01347
252,19.4,32.6,01349
253,-666666666.0,-222222222.0,01350
254,51.0,-333333333.0,01351
255,51.0,-333333333.0,01354
256,48.8,21.1,01355
257,29.7,12.7,01360
258,27.8,2.9,01364
259,24.2,20.7,01366
260,17.2,2.1,01367
261,-666666666.0,-222222222.0,01368
262,27.2,7.6,01370
263,18.9,3.1,01373
264,40.9,3.3,01375
265,33.3,3.0,01376
266,28.4,3.0,01378
267,43.0,20.0,01379
268,-666666666.0,-222222222.0,01380
269,29.9,3.5,01420
270,40.8,14.8,01430
271,26.7,6.3,01431
272,28.0,5.9,01432
273,29.7,30.5,01434
274,51.0,-333333333.0,01436
275,-666666666.0,-222222222.0,01438
276,29.9,3.9,01440
277,25.7,16.2,01450
278,34.8,8.6,01451
279,37.8,41.1,01452
280,29.6,2.4,01453
281,33.3,7.2,01460
282,29.0,3.9,01462
283,27.6,7.0,01463
284,34.3,9.1,01464
285,18.8,2.7,01468
286,31.6,5.9,01469
287,33.8,11.4,01473
288,28.5,2.9,01474
289,34.4,4.8,01475
290,30.5,2.9,01501
291,38.3,17.3,01503
292,34.6,5.2,01504
293,28.1,10.2,01505
294,30.4,28.4,01506
295,25.0,10.0,01507
296,25.0,3.7,01510
297,20.7,13.3,01515
298,25.5,4.7,01516
299,30.2,8.2,01518
300,33.0,35.9,01519
301,25.2,4.3,01520
302,31.0,20.3,01521
303,43.8,9.8,01522
304,38.1,14.3,01523
305,27.8,20.7,01524
306,-666666666.0,-222222222.0,01525
