"Label (Grouping)","San Diego County, California!!Households!!Estimate","San Diego County, California!!Households!!Margin of Error","San Diego County, California!!Families!!Estimate","San Diego County, California!!Families!!Margin of Error","San Diego County, California!!Married-couple families!!Estimate","San Diego County, California!!Married-couple families!!Margin of Error","San Diego County, California!!Nonfamily households!!Estimate","San Diego County, California!!Nonfamily households!!Margin of Error"
"Total","1,185,092","±6,462","781,679","±9,221","579,899","±9,898","403,413","±9,102"
"    Less than $10,000","3.9%","±0.4","2.4%","±0.4","1.6%","±0.3","7.4%","±1.0"
"    $10,000 to $14,999","2.1%","±0.3","1.2%","±0.3","0.7%","±0.2","4.3%","±0.6"
"    $15,000 to $24,999","4.2%","±0.4","2.9%","±0.4","2.2%","±0.4","7.1%","±0.9"
"    $25,000 to $34,999","4.4%","±0.4","3.6%","±0.4","2.6%","±0.4","6.3%","±0.9"
"    $35,000 to $49,999","7.2%","±0.4","6.1%","±0.5","4.8%","±0.6","9.7%","±0.9"
"    $50,000 to $74,999","12.3%","±0.5","11.7%","±0.7","9.6%","±0.8","14.6%","±1.1"
"    $75,000 to $99,999","11.3%","±0.5","11.0%","±0.7","9.6%","±0.6","12.3%","±0.8"
"    $100,000 to $149,999","18.9%","±0.7","19.5%","±0.8","19.4%","±0.9","17.1%","±1.4"
"    $150,000 to $199,999","12.7%","±0.5","14.0%","±0.7","15.5%","±0.8","9.3%","±0.8"
"    $200,000 or more","22.9%","±0.6","27.5%","±0.8","34.0%","±1.0","12.0%","±0.9"
"Median income (dollars)","109,132","±1,813","124,106","±2,439","148,537","±3,484","76,022","±2,264"
"Mean income (dollars)","145,273","±1,900","163,582","±2,716","185,657","±3,238","101,860","±2,957"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","36.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","39.5%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","30.1%","(X)"
