Address: Postal Code,Community Plan,District,Inclusionary Count,Most Restrictive AMI Range,Number of Affordable Units,Property Name,SDHC Owned,SRO,State Assembly District,State Senate District,Count of Data Export_Summary 2.csv
,DOWNTOWN,3,0,0%-0%,0,Paul Mirabile Center,no,no,78,39,1
,NA,,0,35%-50%,10,Becky's House III,no,no,,,1
,NAVAJO,7,1,30%-60%,79,Bluewater,no,no,79,39,1
,OTAY MESA-NESTOR,8,0,80%-80%,1,1250 Twining Avenue,no,no,80,40,1
,OTAY MESA-NESTOR,8,0,80%-80%,1,1506 Peterlynn Dr,no,no,80,40,1
0,NA,,0,0%-0%,0,San Diego Youth Services - Youth Emergency Shelter,no,no,,,1
0,NA,,0,0%-0%,0,YWCA Passages,no,yes,,,1
0,NA,,0,30%-50%,14,Becky's House II,no,no,,,1
0,NA,,0,50%-50%,11,El Nido Project,no,no,,,1
92014,NORTH PARK,3,0,60%-60%,5,Oregon Street Apartments,no,no,78,39,1
92037,LA JOLLA,1,0,0%-0%,0,Pantai Inn,no,yes,78,39,1
92037,LA JOLLA,1,0,0%-0%,0,Spindrift Apts,no,yes,78,39,1
92037,LA JOLLA,1,0,50%-50%,1,7606 Girard Avenue,no,no,78,39,1
92037,LA JOLLA,1,0,50%-50%,2,Pearl Street,no,no,78,39,1
92037,LA JOLLA,1,0,50%-70%,8,La Jolla Marine Apartments,yes,no,78,39,1
92037,LA JOLLA,1,0,60%-60%,1,La Jolla Biltmore Apartments,no,no,78,39,1
92037,LA JOLLA,1,0,60%-60%,1,Sea + Stone,no,no,78,39,1
92037,LA JOLLA,1,1,50%-50%,1,Nautilus,no,no,78,39,1
92101,DOWNTOWN,3,0,0%-0%,0,420 Ash Street,no,yes,78,39,1
92101,DOWNTOWN,3,0,0%-0%,0,745 15th Street,no,yes,78,39,1
92101,DOWNTOWN,3,0,0%-0%,0,1035 E Street,no,yes,78,39,1
92101,DOWNTOWN,3,0,0%-0%,0,Amigos Sobrios,no,yes,78,39,1
92101,DOWNTOWN,3,0,0%-0%,0,Arlington Hotel,no,yes,78,39,1
92101,DOWNTOWN,3,0,0%-0%,0,Astor Apartments Cortez Hill,no,yes,78,39,1
92101,DOWNTOWN,3,0,0%-0%,0,Bishop Maher Center,no,no,78,39,1
92101,DOWNTOWN,3,0,0%-0%,0,C Street Inn,no,yes,78,39,1
92101,DOWNTOWN,3,0,0%-0%,0,Caledonia Apartments,no,yes,78,39,1
92101,DOWNTOWN,3,0,0%-0%,0,Centre City Apartments/Hotel,no,yes,78,39,1
92101,DOWNTOWN,3,0,0%-0%,0,Chadwick Hotel,no,yes,78,39,1
